City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
2347468,Bauchi,NG,10.5,10.0,73.35,80,60,2.68
3137469,Sørland,NO,67.667,12.6934,43.5,69,100,23.64
710071,Desna,UA,50.9273,30.7605,37.02,56,8,7.83
4120388,Malvern,US,34.3623,-92.813,68.76,87,1,2.01
2122614,Okha,RU,53.5739,142.9478,46.33,53,99,9.57
964420,Port Elizabeth,ZA,-33.918,25.5701,68.29,52,0,33.38
4007676,Pueblo Nuevo,MX,23.3833,-105.3833,59.74,77,42,6.29
4362001,Mayo,US,38.8876,-76.5119,66.87,91,1,0.0
4946620,Palmer,US,42.1584,-72.3287,56.05,93,1,0.0
5847411,Kahului,US,20.8947,-156.47,81.07,69,40,21.85
546105,Nikolskoye,RU,59.7035,30.7861,47.25,67,100,7.05
535839,Leshukonskoye,RU,64.8989,45.7622,46.99,79,100,14.79
3394539,Montes Altos,BR,-5.8333,-47.0667,82.85,42,3,8.57
3932145,Pisco,PE,-13.7,-76.2167,60.85,88,0,20.71
5746545,Portland,US,45.5234,-122.6762,55.13,67,1,3.0
3663495,Manoel Urbano,BR,-8.8389,-69.2597,77.49,72,96,1.36
2070998,Geraldton,AU,-28.7667,114.6,64.81,82,90,12.66
2264557,Ponta do Sol,PT,32.6667,-17.1,69.1,77,90,2.77
3984997,San Quintín,MX,30.4833,-115.95,67.69,81,100,13.91
3874579,Purranque,CL,-40.9167,-73.1667,40.28,98,0,3.0
347796,Sohag,EG,26.557,31.6948,70.23,43,0,8.16
2065594,Mount Isa,AU,-20.7333,139.5,94.77,15,0,8.05
2512186,Puerto del Rosario,ES,28.5004,-13.8627,71.35,78,6,9.22
2514301,Mahon,ES,39.8885,4.2658,63.16,67,20,11.5
1651531,Ambon City,ID,-3.6954,128.1814,84.34,89,40,3.44
3175096,Laas,IT,46.6166,10.7002,46.42,84,84,4.56
1493004,Sargatskoye,RU,55.6101,73.4972,37.62,87,75,7.29
110690,Faya,SA,18.3851,42.4509,64.92,65,19,6.76
3557758,Guane,CU,22.2025,-84.0875,78.1,89,99,4.97
6138802,Saint-Michel-des-Saints,CA,46.6834,-73.9159,52.93,93,6,2.26
3393536,Olinda,BR,-8.0089,-34.8553,80.33,74,40,9.22
4815462,Moundsville,US,39.9203,-80.7431,69.22,93,100,2.89
1494523,Polovinnoye,RU,54.7914,65.9864,35.44,82,7,7.99
3420768,Qasigiannguit,GL,68.8193,-51.1922,23.25,79,12,4.59
140463,Birjand,IR,32.8663,59.2211,63.07,20,0,6.91
1862505,Hirara,JP,24.8,125.2833,84.47,74,20,14.97
3389353,Santarém,BR,-2.4431,-54.7083,82.53,89,0,4.61
6053446,Lewisporte,CA,49.2499,-55.0482,43.68,75,100,4.5
1498314,Motygino,RU,58.1831,94.7592,33.89,98,100,6.51
2025159,Dalnerechensk,RU,45.9339,133.7225,58.21,44,53,10.63
525426,Sobolevo,RU,54.4299,31.8996,33.93,72,0,3.09
2139521,Noumea,NC,-22.2763,166.4572,80.58,59,44,19.71
2112309,Katsuura,JP,35.1333,140.3,75.22,76,50,11.95
311704,İdil,TR,37.3411,41.8895,60.78,26,0,4.94
2119283,Zyryanka,RU,65.75,150.85,28.8,53,19,10.74
487928,Stary Oskol,RU,51.2967,37.8417,37.17,59,0,5.79
5554428,Ketchikan,US,55.3422,-131.6461,46.38,95,100,13.29
2032614,Baruun-Urt,MN,46.6806,113.2792,52.12,47,14,11.7
